date,count,tag
Jan-07,0,pub
Feb-07,0,pub
Mar-07,0,pub
Apr-07,0,pub
May-07,0,pub
Jun-07,0,pub
Jul-07,0,pub
Aug-07,0,pub
Sep-07,0,pub
Oct-07,0,pub
Nov-07,3,pub
Dec-07,3,pub
Jan-08,3,pub
Feb-08,3,pub
Mar-08,3,pub
Apr-08,3,pub
May-08,3,pub
Jun-08,3,pub
Jul-08,3,pub
Aug-08,4,pub
Sep-08,4,pub
Oct-08,4,pub
Nov-08,4,pub
Dec-08,4,pub
Jan-09,4,pub
Feb-09,4,pub
Mar-09,4,pub
Apr-09,3,pub
May-09,3,pub
Jun-09,3,pub
Jul-09,3,pub
Aug-09,5,pub
Sep-09,7,pub
Oct-09,7,pub
Nov-09,8,pub
Dec-09,10,pub
Jan-10,10,pub
Feb-10,10,pub
Mar-10,10,pub
Apr-10,13,pub
May-10,15,pub
Jun-10,15,pub
Jul-10,15,pub
Aug-10,15,pub
Sep-10,15,pub
Oct-10,15,pub
Nov-10,15,pub
Dec-10,16,pub
Jan-11,18,pub
Feb-11,21,pub
Mar-11,21,pub
Apr-11,21,pub
May-11,22,pub
Jun-11,24,pub
Jul-11,24,pub
Aug-11,25,pub
Sep-11,27,pub
Oct-11,27,pub
Nov-11,27,pub
Dec-11,27,pub
Jan-12,29,pub
Feb-12,26,pub
Mar-12,27,pub
Apr-12,27,pub
May-12,37,pub
Jun-12,36,pub
Jul-12,44,pub
Aug-12,45,pub
Sep-12,45,pub
Oct-12,45,pub
Nov-12,49,pub
Dec-12,50,pub
Jan-13,51,pub
Feb-13,52,pub
Mar-13,50,pub
Apr-13,49,pub
May-13,53,pub
Jun-13,55,pub
Jul-13,55,pub
Aug-13,54,pub
Sep-13,52,pub
Oct-13,51,pub
Nov-13,52,pub
Dec-13,45,pub
Jan-14,45,pub
Feb-14,44,pub
Mar-14,27,pub
Apr-14,26,pub
May-14,23,pub
Jun-14,19,pub
Jul-14,17,pub
Aug-14,13,pub
Sep-14,7,pub
Oct-14,5,pub
Nov-14,3,pub
Jan-04,0,beauty
Feb-04,0,beauty
Mar-04,0,beauty
Apr-04,0,beauty
May-04,0,beauty
Jun-04,0,beauty
Jul-04,0,beauty
Aug-04,0,beauty
Sep-04,0,beauty
Oct-04,0,beauty
Nov-04,0,beauty
Dec-04,0,beauty
Jan-05,0,beauty
Feb-05,0,beauty
Mar-05,0,beauty
Apr-05,0,beauty
May-05,0,beauty
Jun-05,0,beauty
Jul-05,0,beauty
Aug-05,0,beauty
Sep-05,0,beauty
Oct-05,0,beauty
Nov-05,0,beauty
Dec-05,0,beauty
Jan-06,0,beauty
Feb-06,0,beauty
Mar-06,0,beauty
Apr-06,0,beauty
May-06,0,beauty
Jun-06,0,beauty
Jul-06,0,beauty
Aug-06,0,beauty
Sep-06,0,beauty
Oct-06,0,beauty
Nov-06,0,beauty
Dec-06,0,beauty
Jan-07,0,beauty
Feb-07,0,beauty
Mar-07,0,beauty
Apr-07,0,beauty
May-07,0,beauty
Jun-07,0,beauty
Jul-07,0,beauty
Aug-07,0,beauty
Sep-07,0,beauty
Oct-07,0,beauty
Nov-07,0,beauty
Dec-07,0,beauty
Jan-08,0,beauty
Feb-08,0,beauty
Mar-08,0,beauty
Apr-08,0,beauty
May-08,0,beauty
Jun-08,0,beauty
Jul-08,0,beauty
Aug-08,0,beauty
Sep-08,0,beauty
Oct-08,0,beauty
Nov-08,0,beauty
Dec-08,0,beauty
Jan-09,0,beauty
Feb-09,0,beauty
Mar-09,0,beauty
Apr-09,0,beauty
May-09,0,beauty
Jun-09,0,beauty
Jul-09,0,beauty
Aug-09,0,beauty
Sep-09,0,beauty
Oct-09,0,beauty
Nov-09,0,beauty
Dec-09,0,beauty
Jan-10,0,beauty
Feb-10,0,beauty
Mar-10,0,beauty
Apr-10,0,beauty
May-10,0,beauty
Jun-10,0,beauty
Jul-10,0,beauty
Aug-10,0,beauty
Sep-10,0,beauty
Oct-10,0,beauty
Nov-10,0,beauty
Dec-10,0,beauty
Jan-11,1,beauty
Feb-11,1,beauty
Mar-11,1,beauty
Apr-11,1,beauty
May-11,1,beauty
Jun-11,1,beauty
Jul-11,1,beauty
Aug-11,1,beauty
Sep-11,1,beauty
Oct-11,1,beauty
Nov-11,1,beauty
Dec-11,1,beauty
Jan-12,1,beauty
Feb-12,1,beauty
Mar-12,1,beauty
Apr-12,1,beauty
May-12,1,beauty
Jun-12,1,beauty
Jul-12,1,beauty
Aug-12,1,beauty
Sep-12,1,beauty
Oct-12,4,beauty
Nov-12,5,beauty
Dec-12,6,beauty
Jan-13,7,beauty
Feb-13,9,beauty
Mar-13,9,beauty
Apr-13,9,beauty
May-13,9,beauty
Jun-13,9,beauty
Jul-13,9,beauty
Aug-13,9,beauty
Sep-13,11,beauty
Oct-13,11,beauty
Nov-13,11,beauty
Dec-13,10,beauty
Jan-14,10,beauty
Feb-14,10,beauty
Mar-14,7,beauty
Apr-14,7,beauty
May-14,7,beauty
Jun-14,7,beauty
Jul-14,7,beauty
Aug-14,5,beauty
Sep-14,3,beauty
Oct-14,1,beauty
Nov-14,0,beauty
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
