adm1_name,count
California,18752
Florida,9699
Missouri,9340
New York,8424
Ohio,8414
Texas,8138
Pennsylvania,6717
Virginia,6526
Tennessee,6277
Kansas,5900
Michigan,5052
Iowa,4863
Georgia,4644
South Carolina,4538
Illinois,4423
West Virginia,4099
Alabama,4094
Colorado,3972
Nebraska,3770
Arkansas,3667
Massachusetts,3568
Oklahoma,3348
Mississippi,3262
New Jersey,3252
Wisconsin,3219
Louisiana,3181
Arizona,3017
Kentucky,2958
North Carolina,2937
North Dakota,2937
Maryland,2772
Indiana,2197
South Dakota,2055
Washington,2000
Connecticut,1746
Oregon,1279
Minnesota,1150
Maine,1122
Vermont,899
Idaho,892
New Mexico,889
Nevada,781
Montana,743
New Hampshire,654
Rhode Island,614
Utah,614
Wyoming,515
District Of Columbia,432
Delaware,240
Alaska,69
Hawaii,23
